nohup: ignoring input
1974-12-08: 1.40 in
1975-12-26: 1.30 in
1978-01-09: 1.62 in
1979-01-08: 1.26 in
1979-01-21: 1.76 in
1979-01-25: 1.34 in
1981-02-24: 1.53 in
1981-02-25: 2.11 in
1982-01-04: 1.47 in
1982-02-03: 1.69 in
1983-01-11: 1.98 in
1983-12-13: 1.26 in
1986-01-26: 1.52 in
1990-12-04: 1.53 in
1994-12-24: 1.86 in
1996-01-27: 1.70 in
1996-02-21: 1.40 in
1999-01-15: 1.23 in
2000-12-17: 1.44 in
2001-02-05: 1.45 in
2003-12-17: 1.57 in
2005-12-26: 1.49 in
2006-12-01: 1.77 in
2008-02-13: 2.91 in
2008-12-12: 1.42 in
2010-02-25: 1.64 in
2010-12-12: 1.63 in
2011-01-12: 1.29 in
2011-12-07: 1.52 in
2019-01-24: 1.42 in
2019-12-14: 1.60 in
2019-12-30: 1.47 in
2020-12-05: 1.48 in
2020-12-17: 1.89 in
2020-12-25: 1.61 in
2022-02-04: 1.54 in
2022-12-23: 1.45 in
2023-01-23: 1.22 in
2023-12-10: 1.22 in
2023-12-18: 2.73 in
2024-01-10: 1.51 in

Station USW00093730 with lat 39.452 and lon -74.567
1960-02-18: 1.88 in
1961-01-01: 1.89 in
1962-01-06: 2.47 in
1964-01-09: 1.43 in
1964-01-13: 1.74 in
1966-02-13: 2.58 in
1968-01-14: 2.17 in
1968-12-04: 1.50 in
1969-12-26: 1.70 in
1970-12-16: 1.46 in
1971-02-22: 1.90 in
1971-12-07: 1.46 in
1973-02-02: 2.17 in
1973-12-21: 1.79 in
1974-12-16: 1.90 in
1977-01-10: 2.34 in
1978-01-13: 1.66 in
1978-01-25: 1.43 in
1979-02-24: 2.15 in
1983-12-22: 1.65 in
1986-01-26: 1.95 in
1987-01-26: 1.74 in
1991-01-11: 1.64 in
1992-12-10: 1.46 in
1993-12-05: 1.95 in
1997-12-29: 1.76 in
1998-01-23: 2.09 in
1998-01-28: 1.55 in
1998-02-23: 2.37 in
2001-02-05: 1.50 in
2003-01-03: 1.43 in
2003-12-11: 1.58 in
2006-01-23: 1.66 in
2007-12-16: 1.51 in
2007-12-23: 1.51 in
2008-02-01: 1.97 in
2008-02-13: 1.64 in
2008-12-11: 3.68 in
2009-12-09: 2.51 in
2009-12-26: 2.44 in
2010-02-06: 1.60 in
2010-02-23: 1.73 in
2010-12-26: 1.60 in
2011-12-07: 1.55 in
2012-12-08: 1.46 in
2012-12-26: 2.60 in
2013-02-08: 2.07 in
2013-12-29: 1.47 in
2014-02-13: 1.89 in
2014-12-09: 2.08 in
2018-02-11: 1.95 in
2018-12-28: 1.72 in
2019-01-24: 1.65 in
2020-12-16: 1.48 in
2022-01-29: 1.46 in
2022-12-15: 1.73 in
2023-12-10: 1.61 in
2023-12-18: 2.27 in
2024-01-09: 2.33 in

Station USW00014607 with lat 46.870 and lon -68.017
1960-12-16: 1.03 in
1961-12-05: 1.12 in
1967-12-12: 1.46 in
1967-12-29: 1.09 in
1968-02-03: 1.11 in
1969-01-01: 1.06 in
1969-02-10: 1.03 in
1972-12-13: 1.06 in
1973-12-17: 2.76 in
1975-12-26: 1.24 in
1976-01-28: 1.00 in
1976-02-02: 1.00 in
1976-12-26: 1.27 in
1977-01-10: 1.31 in
1977-01-29: 1.02 in
1978-01-14: 1.34 in
1979-12-25: 1.51 in
1982-12-16: 1.03 in
1983-12-07: 1.21 in
1986-01-03: 1.21 in
1986-01-20: 1.06 in
1989-12-03: 1.13 in
1990-12-04: 2.04 in
1992-01-05: 1.51 in
1993-12-11: 1.66 in
1995-01-16: 1.58 in
1996-01-27: 1.04 in
1997-01-10: 1.01 in
1999-01-09: 1.05 in
2000-02-14: 1.92 in
2002-02-27: 1.07 in
2002-12-20: 1.08 in
2003-02-02: 2.10 in
2003-12-15: 2.77 in
2005-02-10: 1.09 in
2005-12-02: 1.04 in
2005-12-26: 1.99 in
2006-01-14: 1.00 in
2007-02-14: 1.04 in
2008-12-12: 1.45 in
2009-12-03: 1.04 in
2010-12-13: 2.25 in
2013-02-28: 1.50 in
2014-01-11: 1.13 in
2014-12-10: 1.17 in
2016-12-01: 1.20 in
2017-01-25: 1.02 in
2018-01-23: 1.72 in
2018-12-21: 1.51 in
2019-01-20: 1.45 in
2019-01-24: 1.01 in
2020-01-12: 1.04 in
2021-12-06: 1.24 in
2022-12-07: 1.43 in
2023-01-13: 1.78 in
2023-01-26: 1.02 in
2023-02-17: 1.09 in
2023-12-11: 1.14 in
2024-12-11: 1.56 in

Station USW00014734 with lat 40.683 and lon -74.169
1960-12-12: 1.51 in
1961-02-04: 1.87 in
1962-01-06: 1.56 in
1964-01-20: 1.42 in
1966-02-13: 1.90 in
1967-12-03: 1.43 in
1968-12-04: 1.90 in
1970-02-10: 1.69 in
1973-02-02: 2.36 in
1973-12-21: 2.00 in
1975-12-26: 1.53 in
1976-01-27: 1.42 in
1977-02-24: 2.02 in
1978-01-20: 1.57 in
1978-01-25: 1.55 in
1978-12-09: 1.66 in
1979-01-21: 2.95 in
1979-01-24: 2.02 in
1979-02-24: 1.50 in
1981-02-20: 1.52 in
1982-01-04: 2.94 in
1983-12-13: 2.01 in
1983-12-22: 2.77 in
1984-02-15: 1.65 in
1986-01-26: 1.92 in
1987-01-02: 1.51 in
1987-01-22: 1.58 in
1988-02-12: 1.45 in
1992-12-11: 2.04 in
1993-12-21: 1.82 in
1994-01-17: 1.42 in
1994-01-28: 1.73 in
1994-02-11: 2.06 in
1996-01-07: 1.44 in
1997-12-29: 1.55 in
1998-01-23: 2.30 in
1999-01-03: 2.57 in
2003-01-01: 1.73 in
2003-02-22: 1.53 in
2004-02-06: 1.58 in
2007-01-01: 1.39 in
2008-02-01: 1.81 in
2008-02-13: 1.78 in
2008-12-11: 1.97 in
2009-12-09: 1.96 in
2011-02-25: 1.39 in
2011-12-07: 1.90 in
2014-02-05: 1.44 in
2015-01-18: 1.84 in
2015-12-23: 1.44 in
2016-01-10: 1.77 in
2016-01-23: 1.81 in
2018-12-16: 1.47 in
2019-12-09: 1.49 in
2021-02-01: 1.44 in
2023-12-18: 2.75 in
2023-12-28: 1.51 in
2024-01-09: 2.05 in

Station USW00014739 with lat 42.361 and lon -71.010
1960-12-16: 1.81 in
1961-02-04: 2.55 in
1962-12-05: 1.52 in
1964-12-27: 1.71 in
1965-02-25: 1.87 in
1966-02-13: 1.65 in
1967-12-03: 1.53 in
1967-12-28: 1.70 in
1968-12-04: 2.15 in
1969-02-09: 1.67 in
1969-02-24: 2.42 in
1969-12-26: 3.51 in
1970-12-17: 2.82 in
1972-02-19: 2.40 in
1973-12-17: 2.64 in
1974-12-02: 1.63 in
1977-01-07: 1.67 in
1977-01-10: 1.71 in
1978-01-20: 2.05 in
1978-02-07: 1.93 in
1979-01-21: 2.52 in
1979-01-25: 2.08 in
1979-02-26: 1.75 in
1981-02-25: 2.15 in
1981-12-15: 1.51 in
1982-01-04: 1.57 in
1983-02-17: 1.59 in
1984-02-16: 1.84 in
1984-02-24: 1.55 in
1984-02-28: 1.52 in
1986-12-03: 1.82 in
1987-01-02: 2.24 in
1988-02-12: 1.85 in
1992-12-12: 4.21 in
1993-12-05: 2.76 in
1993-12-21: 1.53 in
1996-01-27: 1.82 in
1998-01-24: 1.53 in
1998-02-18: 1.91 in
1998-02-24: 2.28 in
1999-01-03: 1.51 in
1999-01-15: 1.67 in
2000-12-17: 2.67 in
2002-12-14: 1.99 in
2003-02-17: 1.57 in
2007-02-14: 1.62 in
2008-02-13: 2.66 in
2008-12-12: 2.29 in
2011-02-25: 1.63 in
2011-12-07: 1.60 in
2012-12-27: 1.67 in
2014-12-09: 2.90 in
2020-12-05: 1.72 in
2022-02-04: 1.87 in
2023-12-11: 1.75 in
2023-12-18: 1.68 in
2024-01-10: 1.82 in
2024-12-11: 2.76 in

Station USW00093720 with lat 38.341 and lon -75.513
1961-02-08: 1.55 in
1961-12-18: 1.73 in
1962-01-06: 3.09 in
1969-12-10: 1.88 in
1969-12-26: 1.70 in
1973-02-02: 2.26 in
1975-12-31: 1.44 in
1976-01-27: 1.49 in
1977-12-18: 3.56 in
1978-01-13: 1.64 in
1979-01-02: 1.42 in
1979-01-21: 2.40 in
1979-02-24: 1.80 in
1981-02-20: 1.54 in
1985-02-12: 1.52 in
1986-01-26: 2.01 in
1986-12-24: 3.21 in
1987-01-19: 2.23 in
1988-01-20: 1.53 in
1988-02-12: 1.54 in
1991-01-11: 2.05 in
1991-12-01: 1.38 in
1992-02-15: 1.37 in
1992-12-10: 2.12 in
1992-12-11: 1.68 in
1993-01-05: 1.58 in
1994-02-11: 2.07 in
1994-02-23: 1.78 in
1996-01-07: 1.40 in
1996-02-03: 2.40 in
1998-01-28: 4.48 in
1998-02-04: 2.23 in
1998-02-23: 1.44 in
1998-12-13: 1.43 in
1999-01-15: 1.56 in
1999-01-24: 1.40 in
2003-02-17: 1.92 in
2003-12-11: 1.53 in
2003-12-14: 1.46 in
2003-12-24: 1.86 in
2005-01-30: 1.37 in
2008-02-13: 1.71 in
2008-12-11: 2.08 in
2009-12-09: 1.94 in
2009-12-13: 1.45 in
2010-01-17: 1.71 in
2010-01-25: 1.58 in
2012-02-29: 1.54 in
2012-12-26: 1.75 in
2013-02-08: 1.73 in
2014-12-09: 1.40 in
2020-12-05: 3.04 in
2020-12-14: 1.41 in
2020-12-16: 1.66 in
2022-01-03: 1.46 in
2022-12-15: 2.24 in
2023-12-18: 4.04 in
2024-01-09: 2.56 in
2024-12-11: 1.74 in

Station USW00093721 with lat 39.173 and lon -76.684
1960-02-18: 1.55 in
1964-01-09: 1.47 in
1965-02-07: 1.64 in
1966-02-13: 1.65 in
1967-12-03: 1.43 in
1968-01-14: 2.45 in
1969-12-10: 1.58 in
1969-12-22: 1.52 in
1971-02-22: 2.15 in
1972-02-13: 1.65 in
1972-12-08: 1.56 in
1974-12-01: 1.84 in
1974-12-16: 1.99 in
1975-12-31: 2.37 in
1977-12-18: 3.36 in
1978-01-25: 1.83 in
1978-12-24: 1.56 in
1979-01-02: 1.67 in
1979-02-19: 1.59 in
1979-02-24: 1.70 in
1983-02-11: 3.26 in
1983-12-12: 1.44 in
1986-12-24: 2.49 in
1987-01-22: 1.75 in
1991-01-11: 1.60 in
1992-12-10: 1.51 in
1992-12-11: 1.72 in
1993-12-05: 1.55 in
1996-01-07: 2.51 in
1996-12-13: 2.73 in
1998-01-23: 1.82 in
1998-01-28: 1.76 in
1998-02-04: 1.65 in
1998-02-23: 1.56 in
1999-01-03: 1.43 in
2002-12-11: 1.61 in
2003-01-01: 1.68 in
2003-02-16: 2.01 in
2003-02-22: 2.30 in
2004-02-06: 1.62 in
2005-01-14: 1.94 in
2008-02-01: 1.80 in
2008-12-11: 1.44 in
2009-12-19: 1.54 in
2010-02-06: 1.58 in
2011-01-26: 1.82 in
2011-12-07: 2.38 in
2012-02-29: 1.64 in
2014-02-13: 1.77 in
2015-12-23: 2.01 in
2016-01-23: 1.80 in
2016-02-24: 2.61 in
2018-12-15: 2.24 in
2020-01-25: 1.49 in
2022-12-15: 2.07 in
2023-12-10: 1.52 in
2023-12-17: 2.14 in
2023-12-27: 1.62 in
2024-01-09: 2.62 in

Station USW00013781 with lat 39.674 and lon -75.606
1962-01-06: 1.55 in
1964-12-12: 1.42 in
1964-12-27: 1.53 in
1966-02-13: 2.28 in
1967-12-03: 1.61 in
1968-01-14: 1.61 in
1969-12-26: 1.78 in
1971-02-13: 1.75 in
1971-02-22: 1.46 in
1972-02-13: 1.61 in
1972-02-19: 1.62 in
1972-12-08: 1.44 in
1973-02-02: 2.01 in
1973-12-05: 1.61 in
1974-12-16: 1.43 in
1977-12-18: 1.99 in
1978-01-13: 1.72 in
1978-01-17: 1.51 in
1978-01-25: 1.97 in
1978-12-09: 1.55 in
1979-02-19: 1.58 in
1979-02-24: 2.17 in
1982-01-04: 1.44 in
1983-02-11: 1.62 in
1983-12-12: 1.85 in
1986-12-24: 1.87 in
1992-12-11: 1.50 in
1996-01-07: 1.54 in
1996-12-13: 2.09 in
1998-01-23: 2.51 in
1999-01-03: 1.44 in
2000-01-25: 1.63 in
2000-12-17: 1.61 in
2001-02-05: 1.53 in
2003-02-22: 2.15 in
2004-02-06: 1.70 in
2005-01-14: 1.49 in
2007-01-01: 1.65 in
2008-02-13: 1.57 in
2008-12-11: 2.14 in
2009-01-07: 1.63 in
2009-12-09: 2.28 in
2009-12-26: 1.56 in
2010-02-06: 1.84 in
2011-01-26: 1.57 in
2011-12-07: 1.94 in
2014-02-13: 1.50 in
2015-01-18: 1.67 in
2018-02-11: 1.58 in
2018-12-16: 1.53 in
2018-12-28: 1.67 in
2020-01-25: 2.54 in
2020-12-24: 1.94 in
2022-12-15: 2.03 in
2023-12-10: 1.86 in
2023-12-18: 1.76 in
2023-12-27: 1.84 in
2024-01-09: 2.50 in

Station USW00014732 with lat 40.779 and lon -73.880
1960-02-18: 1.67 in
1961-02-04: 1.72 in
1962-01-06: 1.56 in
1965-02-25: 1.38 in
1966-02-13: 2.19 in
1967-12-03: 1.48 in
1968-12-04: 1.76 in
1969-02-09: 1.82 in
1970-02-10: 1.67 in
1972-02-19: 1.70 in
1973-02-02: 1.75 in
1973-12-09: 1.81 in
1973-12-21: 1.92 in
1974-12-02: 2.22 in
1974-12-16: 2.39 in
1975-02-24: 1.70 in
1975-12-26: 1.68 in
1976-01-27: 1.93 in
1978-01-25: 1.38 in
1978-12-09: 1.51 in
1979-01-21: 3.13 in
1981-02-20: 1.50 in
1982-01-04: 2.02 in
1983-01-23: 1.69 in
1983-12-22: 1.59 in
1984-02-15: 1.57 in
1986-01-26: 2.40 in
1987-01-02: 1.52 in
1989-02-21: 1.53 in
1992-12-11: 2.74 in
1994-01-28: 1.55 in
1995-01-20: 1.41 in
1995-02-04: 1.45 in
1996-12-07: 1.39 in
1998-01-23: 2.60 in
1999-01-03: 2.53 in
2003-02-22: 1.60 in
2004-02-06: 1.51 in
2006-02-12: 1.59 in
2008-02-01: 1.59 in
2008-02-13: 1.63 in
2008-12-11: 1.81 in
2009-12-09: 1.64 in
2010-02-25: 1.49 in
2011-12-07: 1.38 in
2014-02-13: 1.68 in
2014-12-09: 2.68 in
2015-01-18: 1.98 in
2015-12-23: 1.45 in
2016-01-10: 1.42 in
2016-01-23: 2.40 in
2016-02-24: 1.55 in
2018-12-21: 1.69 in
2019-01-24: 1.48 in
2019-12-09: 1.80 in
2023-12-10: 1.35 in
2023-12-18: 2.13 in
2024-01-09: 1.95 in

Station USW00094728 with lat 40.779 and lon -73.969
1960-02-11: 1.63 in
1961-02-04: 2.10 in
1962-01-06: 1.57 in
1966-02-13: 2.42 in
1968-12-04: 1.78 in
1969-02-09: 1.64 in
1970-02-10: 2.63 in
1972-02-03: 1.55 in
1972-02-19: 1.64 in
1973-02-02: 2.98 in
1973-12-09: 2.19 in
1973-12-21: 2.49 in
1974-12-02: 2.16 in
1974-12-16: 2.25 in
1975-12-26: 1.66 in
1976-01-27: 1.94 in
1977-02-24: 1.69 in
1978-01-25: 1.80 in
1978-12-09: 1.79 in
1979-01-21: 3.45 in
1979-01-24: 2.18 in
1981-02-20: 1.77 in
1982-01-04: 2.73 in
1983-01-23: 1.68 in
1983-12-04: 1.84 in
1983-12-12: 1.60 in
1983-12-13: 2.02 in
1983-12-22: 2.18 in
1984-02-15: 1.73 in
1986-01-26: 2.19 in
1986-12-02: 1.62 in
1987-01-02: 1.68 in
1992-12-11: 2.41 in
1993-12-21: 1.65 in
1994-01-28: 1.87 in
1998-01-23: 2.55 in
1999-01-03: 2.42 in
2003-12-14: 1.59 in
2004-02-06: 1.59 in
2005-12-16: 1.58 in
2006-02-12: 1.66 in
2008-02-01: 1.63 in
2008-02-13: 1.94 in
2008-12-11: 2.35 in
2010-02-25: 2.00 in
2011-12-07: 1.68 in
2013-02-27: 1.56 in
2014-02-13: 1.78 in
2014-12-09: 2.54 in
2015-01-18: 2.10 in
2015-12-23: 1.55 in
2016-01-10: 1.80 in
2016-01-23: 2.31 in
2018-12-21: 1.61 in
2019-12-09: 1.57 in
2021-02-01: 1.85 in
2022-12-23: 1.83 in
2023-12-18: 2.21 in
2024-01-09: 1.73 in

Station USW00004725 with lat 42.207 and lon -75.980
1960-02-14: 1.41 in
1961-02-04: 1.33 in
1965-01-02: 1.05 in
1965-01-23: 1.20 in
1966-02-13: 2.16 in
1968-12-28: 1.25 in
1969-01-30: 1.01 in
1971-02-13: 1.60 in
1971-12-06: 1.10 in
1971-12-30: 1.07 in
1972-02-19: 1.10 in
1973-12-05: 1.52 in
1973-12-09: 1.26 in
1974-12-08: 1.04 in
1975-02-24: 1.44 in
1976-01-27: 1.26 in
1977-12-05: 1.03 in
1979-01-07: 1.05 in
1982-01-23: 1.03 in
1983-01-15: 1.05 in
1983-12-12: 1.03 in
1983-12-13: 2.66 in
1984-02-15: 0.98 in
1990-01-29: 1.48 in
1990-02-15: 1.28 in
1993-02-16: 1.14 in
1994-12-05: 1.52 in
1996-01-19: 1.64 in
1996-12-01: 1.71 in
1996-12-13: 1.75 in
1998-01-08: 1.00 in
1998-02-24: 1.80 in
2002-02-10: 1.25 in
2003-01-01: 1.08 in
2003-12-11: 0.99 in
2004-12-01: 0.99 in
2004-12-10: 1.07 in
2006-01-18: 1.36 in
2008-02-01: 1.14 in
2008-02-06: 1.18 in
2010-01-25: 1.75 in
2010-12-01: 1.10 in
2011-02-25: 1.08 in
2011-02-28: 0.96 in
2012-12-21: 1.01 in
2014-02-05: 1.29 in
2016-02-16: 1.55 in
2018-01-12: 1.23 in
2019-01-24: 1.01 in
2020-01-25: 1.28 in
2020-02-07: 1.09 in
2020-12-16: 1.11 in
2020-12-17: 1.69 in
2020-12-24: 1.55 in
2023-12-18: 2.06 in
2024-12-11: 1.22 in

Station USW00014735 with lat 42.747 and lon -73.799
1962-02-24: 1.20 in
1964-12-04: 1.19 in
1966-02-25: 1.08 in
1967-12-12: 1.48 in
1969-12-26: 1.44 in
1969-12-27: 1.30 in
1970-12-17: 1.34 in
1971-12-30: 1.07 in
1973-12-17: 1.14 in
1973-12-21: 1.67 in
1975-02-24: 1.46 in
1976-01-27: 1.25 in
1978-01-09: 1.60 in
1978-12-25: 1.12 in
1979-01-02: 1.03 in
1979-01-21: 1.37 in
1979-01-25: 1.33 in
1982-02-03: 1.23 in
1983-01-23: 1.27 in
1983-12-13: 1.86 in
1986-01-26: 1.78 in
1986-02-21: 1.13 in
1987-01-22: 1.03 in
1988-02-12: 1.29 in
1990-01-29: 1.09 in
1990-02-15: 1.60 in
1991-12-03: 1.24 in
1993-12-21: 1.37 in
1994-12-05: 1.04 in
1996-01-19: 1.65 in
1996-01-27: 1.08 in
1996-12-02: 1.27 in
2000-12-17: 2.79 in
2002-12-25: 1.79 in
2003-01-04: 1.51 in
2003-12-14: 1.12 in
2003-12-17: 1.04 in
2006-01-18: 1.72 in
2007-12-16: 1.30 in
2008-02-06: 1.21 in
2008-12-12: 1.24 in
2010-01-25: 1.08 in
2010-02-25: 1.13 in
2010-12-01: 1.39 in
2011-02-25: 1.11 in
2011-12-07: 1.43 in
2014-02-14: 1.09 in
2014-12-09: 1.60 in
2016-02-24: 2.00 in
2017-01-24: 1.08 in
2019-01-20: 1.25 in
2019-01-24: 1.16 in
2019-12-01: 1.29 in
2020-12-17: 1.73 in
2022-12-16: 1.03 in
2022-12-23: 1.59 in
2023-12-18: 2.13 in
2024-01-09: 1.03 in
2024-12-11: 1.39 in

Station USW00014733 with lat 42.940 and lon -78.736
1960-02-19: 1.37 in
1961-02-25: 1.07 in
1962-12-06: 1.15 in
1966-01-23: 1.06 in
1966-01-30: 1.17 in
1968-12-28: 1.25 in
1969-01-30: 1.34 in
1972-02-13: 1.16 in
1973-12-20: 1.37 in
1974-12-02: 1.00 in
1977-12-09: 1.73 in
1977-12-14: 1.10 in
1982-01-10: 1.05 in
1982-01-11: 1.83 in
1982-01-31: 1.33 in
1983-12-12: 1.03 in
1984-02-28: 1.74 in
1984-12-29: 1.14 in
1986-12-02: 1.45 in
1990-02-15: 1.50 in
1990-02-22: 1.21 in
1990-12-03: 1.20 in
1990-12-23: 1.06 in
1990-12-29: 1.36 in
1990-12-30: 1.52 in
1993-12-24: 1.01 in
1995-01-15: 1.10 in
1995-01-20: 1.20 in
1996-01-19: 1.14 in
1998-01-07: 1.24 in
1998-01-08: 1.16 in
1998-02-17: 1.18 in
2001-12-24: 1.66 in
2001-12-28: 1.04 in
2002-01-31: 1.60 in
2003-02-22: 1.03 in
2003-12-25: 1.14 in
2004-12-23: 1.13 in
2006-12-01: 1.21 in
2007-01-15: 1.05 in
2008-02-06: 1.12 in
2008-12-27: 1.21 in
2010-01-25: 1.02 in
2010-12-01: 1.24 in
2013-12-21: 1.12 in
2013-12-22: 1.38 in
2014-02-20: 1.13 in
2018-01-12: 1.10 in
2019-12-04: 1.13 in
2020-12-26: 1.48 in
2022-01-06: 1.10 in
2022-01-17: 1.10 in
2022-02-17: 1.28 in
2022-12-23: 1.98 in
2022-12-24: 1.30 in
2023-02-09: 1.00 in
2024-01-26: 1.07 in

Station USW00014768 with lat 43.117 and lon -77.675
1960-02-19: 1.50 in
1961-02-25: 1.44 in
1962-02-14: 0.95 in
1965-12-25: 0.88 in
1966-01-23: 1.19 in
1966-01-30: 1.24 in
1966-01-31: 0.80 in
1966-02-13: 0.80 in
1968-12-28: 0.84 in
1969-12-10: 1.00 in
1970-02-10: 0.83 in
1971-02-13: 1.73 in
1971-12-30: 0.88 in
1972-02-13: 0.84 in
1972-02-19: 1.15 in
1974-02-22: 0.80 in
1975-12-09: 1.19 in
1977-12-05: 0.95 in
1978-01-20: 1.26 in
1978-02-07: 0.95 in
1978-12-25: 1.49 in
1979-12-25: 1.16 in
1981-02-20: 0.83 in
1984-02-28: 1.59 in
1984-12-29: 0.95 in
1986-12-02: 1.46 in
1990-02-15: 1.35 in
1990-12-30: 1.08 in
1991-12-29: 1.07 in
1994-01-04: 0.90 in
1995-01-20: 1.14 in
1996-01-03: 1.05 in
1997-02-27: 0.80 in
1997-12-30: 0.82 in
1998-01-07: 1.24 in
1998-01-08: 1.58 in
1998-01-23: 0.84 in
1999-12-14: 0.79 in
2002-01-31: 1.77 in
2002-12-25: 0.84 in
2006-12-01: 1.29 in
2007-01-15: 0.80 in
2007-12-02: 0.84 in
2008-02-01: 0.84 in
2008-02-06: 1.17 in
2010-02-26: 1.12 in
2010-12-01: 1.43 in
2014-12-10: 0.79 in
2016-02-16: 1.47 in
2016-02-24: 0.86 in
2017-01-17: 0.81 in
2018-01-12: 0.98 in
2019-02-12: 0.82 in
2022-01-17: 1.15 in
2022-02-17: 0.95 in
2023-01-04: 0.97 in
2023-02-09: 0.90 in
2024-01-26: 1.16 in

Station USW00094725 with lat 44.933 and lon -74.848
1960-02-14: 1.07 in
1961-02-26: 1.14 in
1962-01-15: 1.11 in
1964-12-25: 1.26 in
1966-01-23: 0.82 in
1966-01-30: 1.01 in
1966-12-07: 0.94 in
1966-12-25: 0.96 in
1968-12-28: 0.91 in
1969-01-30: 1.06 in
1969-12-27: 1.15 in
1970-12-09: 1.25 in
1971-02-13: 1.21 in
1971-02-23: 1.41 in
1971-12-30: 0.81 in
1972-02-04: 0.90 in
1972-12-12: 0.86 in
1973-12-20: 1.81 in
1973-12-21: 0.92 in
1976-01-26: 0.94 in
1978-01-09: 1.04 in
1982-12-16: 0.82 in
1983-12-12: 1.24 in
1984-12-28: 0.89 in
1985-02-24: 1.12 in
1986-01-20: 1.17 in
1986-12-03: 0.81 in
1988-02-12: 0.91 in
1990-12-23: 0.94 in
1990-12-30: 1.27 in
1992-01-14: 1.07 in
1993-01-05: 0.98 in
1993-01-31: 0.93 in
1993-12-21: 1.29 in
1994-01-28: 1.14 in
1994-02-24: 1.23 in
1995-12-14: 0.83 in
1996-01-19: 0.93 in
1996-12-13: 1.10 in
1998-01-05: 0.84 in
1998-01-08: 1.87 in
1999-01-03: 0.88 in
1999-01-15: 0.97 in
1999-01-18: 1.22 in
2003-12-11: 1.11 in
2004-12-01: 1.04 in
2006-01-18: 1.15 in
2006-12-01: 0.93 in
2009-12-03: 0.82 in
2010-12-01: 0.88 in
2012-12-21: 1.02 in
2015-01-04: 0.87 in
2016-02-16: 1.45 in
2016-02-24: 1.47 in
2018-01-12: 0.90 in
2018-12-21: 0.96 in
2020-01-11: 1.15 in
2021-01-16: 0.98 in
2023-12-18: 1.16 in

Station USW00013739 with lat 39.873 and lon -75.227
1962-01-06: 2.00 in
1964-12-27: 1.55 in
1966-02-13: 1.95 in
1967-12-03: 1.60 in
1968-01-14: 2.27 in
1969-12-10: 1.45 in
1972-02-19: 1.56 in
1973-02-02: 1.49 in
1974-12-16: 1.54 in
1976-01-27: 1.64 in
1977-12-18: 1.72 in
1978-01-13: 1.46 in
1978-01-17: 1.66 in
1978-01-20: 1.89 in
1978-01-25: 1.83 in
1978-12-09: 1.91 in
1979-01-20: 1.50 in
1979-02-24: 1.84 in
1982-01-04: 1.51 in
1983-02-11: 1.85 in
1983-12-12: 1.45 in
1983-12-22: 1.77 in
1986-12-02: 1.48 in
1986-12-24: 1.73 in
1992-12-11: 2.25 in
1993-12-05: 1.52 in
1996-12-14: 1.92 in
1998-01-23: 2.32 in
1999-01-03: 1.50 in
2001-02-05: 1.62 in
2003-02-22: 1.88 in
2003-12-24: 1.74 in
2004-02-06: 1.90 in
2005-01-14: 1.75 in
2007-01-01: 1.44 in
2008-02-01: 1.41 in
2008-12-11: 2.72 in
2009-01-07: 1.47 in
2009-12-09: 2.13 in
2009-12-19: 1.70 in
